field,Gini,M20,C,A,size,n,q,z.mode,mass
COSMOS,0.487257707707299,-1.38117826610317,2.80569476743742,0.300386947242452,0.738549809399842,0.7369,0.6738,1.74,10.5605
COSMOS,0.441184391665891,-1.65240072585641,3.03370631160739,0.20536603590057,0.859718300211623,1.3973,0.4616,1.57,9.96359
COSMOS,0.423329138188407,-1.374406684845,2.33278258316404,0.182416043728725,0.687107868669686,0.2993,0.5175,2.04,10.3313
COSMOS,0.453376583544909,-1.68206487934532,3.05382507039877,0.136994337536978,0.597934498220026,1.9534,0.6716,2,9.80071
COSMOS,0.352604135359677,-1.56574603631824,2.67391745416315,0.10183021778472,1.00647373626503,1.0405,0.9225,1.95,9.99213
COSMOS,0.446872802030077,-1.66764201837969,3.07134193657125,0.140130396833831,0.329942390539404,0.6729,0.64,1.73,9.63656
COSMOS,0.465398332033246,-1.61364485488101,2.79737221652676,0.167386683824126,0.686273493293699,1.0253,0.2131,1.6,9.78441
COSMOS,0.459853677967393,-0.956550518519453,1.96947540939729,0.239113501716347,0.795327231914279,0.4581,0.6236,1.69,10.1311
COSMOS,0.455977319214223,-1.5765682207514,2.80136227910284,0.172373486089983,0.84898816615697,1.1601,0.4922,2.01,10.382
COSMOS,0.369785199486106,-0.996081184195256,3.398393012809,0.195277846235344,0.894342821295408,0.8336,0.2131,1.6,10.3698
COSMOS,0.371166522793166,-0.862099817004022,2.21907251317683,0.15099416755755,1.30580335361391,0.2,0.4627,1.8,10.2551
COSMOS,0.484796924131405,-1.58156103019858,2.64987509304784,0.163727838289737,0.829876659358033,0.4937,0.4267,1.5,9.99671
COSMOS,0.447971534855767,-1.24817990522392,2.44086922619985,0.115347861346375,0.683764258225561,0.3809,0.4173,1.8,9.90285
COSMOS,0.404978000342529,-1.21738382751324,2.29699790364983,0.123871733232949,0.765969178370751,0.3559,0.6394,1.93,10.8999
COSMOS,0.345072103381298,-1.41648593122273,2.97957388577168,0.0947613548236413,0.966395988228036,0.7358,0.2263,1.53,10.514
COSMOS,0.404726483062615,-1.89673036285207,3.1503897627819,0.11517988316301,0.763721831194564,3.2327,0.6383,1.8,9.74815
COSMOS,0.539021438170464,-1.62582622520753,3.48225988746964,0.09802583121662,0.415972660314964,2.6546,0.9602,1.61,10.2754
COSMOS,0.50429935225141,-1.67806843510038,2.82734169358491,0.125326863157912,0.836752308422191,0.6783,0.7094,1.58,10.5004
COSMOS,0.353410560619944,-1.19011454279359,2.54456496778436,0.158208862593384,1.13994222632408,1.0878,0.6598,1.91,10.7316
